date,side,symbol,shares,price,value,rating,entry_date,entry_price,cost_basis,pnl,pnl_pct,holding_days
2026-02-02,BUY,AME,90.06700246165796,227.0186767578125,20446.891718388233,95.0,,,,,,
2026-02-02,BUY,GOOGL,59.569687683044236,343.24322509765625,20446.891718388233,90.0,,,,,,
2026-02-02,BUY,GOOG,59.361005196641145,344.44989013671875,20446.891718388233,90.0,,,,,,
2026-02-02,BUY,CAH,93.62105313707661,218.40057373046875,20446.891718388233,90.0,,,,,,
2026-02-02,BUY,CMI,34.58079219238961,591.2788696289062,20446.891718388233,90.0,,,,,,
2026-02-03,SELL,CMI,34.58079219238961,598.7899169921875,20706.62968640506,90.0,2026-02-02,591.2788696289062,20446.891718388233,259.7379680168269,0.01270305392106323,1.0
2026-02-03,SELL,GOOGL,59.569687683044236,339.26837158203125,20210.1109358766,79.0,2026-02-02,343.24322509765625,20446.891718388233,-236.78078251163242,-0.01158028250810814,1.0
2026-02-03,SELL,GOOG,59.361005196641145,340.2554016113281,20197.90266323527,79.0,2026-02-02,344.44989013671875,20446.891718388233,-248.98905515296428,-0.012177354806894402,1.0
2026-02-03,SELL,CAH,93.62105313707661,217.4728240966797,20360.034820625366,79.0,2026-02-02,218.40057373046875,20446.891718388233,-86.85689776286745,-0.004247926724469107,1.0
2026-02-04,SELL,AME,90.06700246165796,227.1283416748047,20456.768908736925,84.0,2026-02-02,227.0186767578125,20446.891718388233,9.877190348692238,0.00048306561626721556,2.0
2026-02-09,BUY,HAS,213.8792650840546,95.31681060791016,20386.289402975843,93.75,,,,,,
2026-02-09,BUY,AME,87.61093698191341,232.69114685058594,20386.289402975843,90.0,,,,,,
2026-02-09,BUY,BNY,160.38877655801176,127.10546112060547,20386.289402975843,90.0,,,,,,
2026-02-09,BUY,BG,173.8450123940522,117.26703643798828,20386.289402975843,90.0,,,,,,
2026-02-09,BUY,CVX,113.76923911484329,179.1898193359375,20386.289402975843,90.0,,,,,,
2026-02-10,SELL,AME,87.61093698191341,232.39207458496094,20360.087401559133,79.0,2026-02-09,232.69114685058594,20386.289402975843,-26.202001416710118,-0.001285275652610197,1.0
2026-02-10,SELL,BNY,160.38877655801176,125.95004272460938,20200.97326002941,79.0,2026-02-09,127.10546112060547,20386.289402975843,-185.3161429464344,-0.009090234092300451,1.0
